Gene,Gene Identifier,Number of AT Sites,AT Coordinates
Leucyl/phenylalanyl-tRNA--protein transferase,RAST2:fig|442.17.peg.1394,54,"519062, 519068, 519080, 519081, 519085, 519104, 519105, 519117, 519126, 519131, 519142, 519152, 519153, 519176, 519183, 519206, 519211, 519238, 519254, 519259, 519260, 519270, 519305, 519320, 519347, 519417, 519424, 519452, 519490, 519502, 519503, 519527, 519534, 519535, 519588, 519593, 519601, 519611, 519640, 519656, 519668, 519687, 519688, 519691, 519692, 519704, 519724, 519725, 519730, 519731, 519747, 519755, 519798, 519800"
hypothetical protein,RAST2:fig|442.17.peg.1395,19,"519845, 519851, 519863, 519864, 519868, 519887, 519888, 519900, 519909, 519914, 519925, 519935, 519936, 519959, 519966, 519989, 519994, 520021, 520037"
hypothetical protein,RAST2:fig|442.17.peg.1396,27,"520035, 520041, 520053, 520054, 520058, 520077, 520078, 520090, 520099, 520104, 520115, 520125, 520126, 520149, 520156, 520179, 520184, 520211, 520227, 520232, 520233, 520243, 520278, 520293, 520320, 520390, 520397"
hypothetical protein,RAST2:fig|442.17.peg.1397,61,"520452, 520458, 520470, 520471, 520475, 520494, 520495, 520507, 520516, 520521, 520532, 520542, 520543, 520566, 520573, 520596, 520601, 520628, 520644, 520649, 520650, 520660, 520695, 520710, 520737, 520807, 520814, 520842, 520880, 520892, 520893, 520917, 520924, 520925, 520978, 520983, 520991, 521001, 521030, 521046, 521058, 521077, 521078, 521081, 521082, 521094, 521114, 521115, 521120, 521121, 521137, 521145, 521188, 521190, 521193, 521194, 521249, 521252, 521253, 521262, 521263"
hypothetical protein,RAST2:fig|442.17.peg.1398,34,"521433, 521439, 521451, 521452, 521456, 521475, 521476, 521488, 521497, 521502, 521513, 521523, 521524, 521547, 521554, 521577, 521582, 521609, 521625, 521630, 521631, 521641, 521676, 521691, 521718, 521788, 521795, 521823, 521861, 521873, 521874, 521898, 521905, 521906"
Protein of unknown function DUF55,RAST2:fig|442.17.peg.1399,28,"521958, 521964, 521976, 521977, 521981, 522000, 522001, 522013, 522022, 522027, 522038, 522048, 522049, 522072, 522079, 522102, 522107, 522134, 522150, 522155, 522156, 522166, 522201, 522216, 522243, 522313, 522320, 522348"
"Cytochrome c-type biogenesis protein CcmC, puta",RAST2:fig|442.17.peg.1400,56,"522548, 522554, 522566, 522567, 522571, 522590, 522591, 522603, 522612, 522617, 522628, 522638, 522639, 522662, 522669, 522692, 522697, 522724, 522740, 522745, 522746, 522756, 522791, 522806, 522833, 522903, 522910, 522938, 522976, 522988, 522989, 523013, 523020, 523021, 523074, 523079, 523087, 523097, 523126, 523142, 523154, 523173, 523174, 523177, 523178, 523190, 523210, 523211, 523216, 523217, 523233, 523241, 523284, 523286, 523289, 523290"
hypothetical protein,RAST2:fig|442.17.peg.1401,17,"523306, 523312, 523324, 523325, 523329, 523348, 523349, 523361, 523370, 523375, 523386, 523396, 523397, 523420, 523427, 523450, 523455"
"Cytochrome c-type biogenesis protein CcmE, heme",RAST2:fig|442.17.peg.1402,34,"523470, 523476, 523488, 523489, 523493, 523512, 523513, 523525, 523534, 523539, 523550, 523560, 523561, 523584, 523591, 523614, 523619, 523646, 523662, 523667, 523668, 523678, 523713, 523728, 523755, 523825, 523832, 523860, 523898, 523910, 523911, 523935, 523942, 523943"
Cytochrome c heme lyase subunit CcmF,RAST2:fig|442.17.peg.1403,155,"523981, 523987, 523999, 524000, 524004, 524023, 524024, 524036, 524045, 524050, 524061, 524071, 524072, 524095, 524102, 524125, 524130, 524157, 524173, 524178, 524179, 524189, 524224, 524239, 524266, 524336, 524343, 524371, 524409, 524421, 524422, 524446, 524453, 524454, 524507, 524512, 524520, 524530, 524559, 524575, 524587, 524606, 524607, 524610, 524611, 524623, 524643, 524644, 524649, 524650, 524666, 524674, 524717, 524719, 524722, 524723, 524778, 524781, 524782, 524791, 524792, 524817, 524839, 524853, 524857, 524861, 524875, 524921, 524994, 525009, 525015, 525031, 525033, 525036, 525037, 525038, 525039, 525048, 525064, 525083, 525084, 525093, 525094, 525108, 525114, 525115, 525117, 525126, 525129, 525142, 525146, 525147, 525166, 525167, 525171, 525175, 525176, 525186, 525187, 525199, 525202, 525203, 525211, 525215, 525216, 525226, 525237, 525240, 525247, 525256, 525258, 525262, 525267, 525278, 525289, 525295, 525305, 525322, 525330, 525331, 525347, 525356, 525383, 525411, 525412, 525445, 525448, 525456, 525524, 525525, 525526, 525568, 525577, 525588, 525592, 525623, 525624, 525625, 525644, 525649, 525719, 525753, 525767, 525774, 525777, 525782, 525790, 525795, 525830, 525833, 525855, 525882, 525940, 525941, 525942"
"Cytochrome c-type biogenesis protein CcmG/DsbE,",RAST2:fig|442.17.peg.1404,37,"525973, 525979, 525991, 525992, 525996, 526015, 526016, 526028, 526037, 526042, 526053, 526063, 526064, 526087, 526094, 526117, 526122, 526149, 526165, 526170, 526171, 526181, 526216, 526231, 526258, 526328, 526335, 526363, 526401, 526413, 526414, 526438, 526445, 526446, 526499, 526504, 526512"
Cytochrome c heme lyase subunit CcmL,RAST2:fig|442.17.peg.1405,31,"526524, 526530, 526542, 526543, 526547, 526566, 526567, 526579, 526588, 526593, 526604, 526614, 526615, 526638, 526645, 526668, 526673, 526700, 526716, 526721, 526722, 526732, 526767, 526782, 526809, 526879, 526886, 526914, 526952, 526964, 526965"
Cytochrome c heme lyase subunit CcmH,RAST2:fig|442.17.peg.1406,52,"527000, 527006, 527018, 527019, 527023, 527042, 527043, 527055, 527064, 527069, 527080, 527090, 527091, 527114, 527121, 527144, 527149, 527176, 527192, 527197, 527198, 527208, 527243, 527258, 527285, 527355, 527362, 527390, 527428, 527440, 527441, 527465, 527472, 527473, 527526, 527531, 527539, 527549, 527578, 527594, 527606, 527625, 527626, 527629, 527630, 527642, 527662, 527663, 527668, 527669, 527685, 527693"
hypothetical protein,RAST2:fig|442.17.peg.1407,24,"527737, 527743, 527755, 527756, 527760, 527779, 527780, 527792, 527801, 527806, 527817, 527827, 527828, 527851, 527858, 527881, 527886, 527913, 527929, 527934, 527935, 527945, 527980, 527995"
hypothetical protein,RAST2:fig|442.17.peg.1408,68,"528148, 528154, 528166, 528167, 528171, 528190, 528191, 528203, 528212, 528217, 528228, 528238, 528239, 528262, 528269, 528292, 528297, 528324, 528340, 528345, 528346, 528356, 528391, 528406, 528433, 528503, 528510, 528538, 528576, 528588, 528589, 528613, 528620, 528621, 528674, 528679, 528687, 528697, 528726, 528742, 528754, 528773, 528774, 528777, 528778, 528790, 528810, 528811, 528816, 528817, 528833, 528841, 528884, 528886, 528889, 528890, 528945, 528948, 528949, 528958, 528959, 528984, 529006, 529020, 529024, 529028, 529042, 529088"
Permease of the drug/metabolite transporter,RAST2:fig|442.17.peg.1409,66,"529202, 529208, 529220, 529221, 529225, 529244, 529245, 529257, 529266, 529271, 529282, 529292, 529293, 529316, 529323, 529346, 529351, 529378, 529394, 529399, 529400, 529410, 529445, 529460, 529487, 529557, 529564, 529592, 529630, 529642, 529643, 529667, 529674, 529675, 529728, 529733, 529741, 529751, 529780, 529796, 529808, 529827, 529828, 529831, 529832, 529844, 529864, 529865, 529870, 529871, 529887, 529895, 529938, 529940, 529943, 529944, 529999, 530002, 530003, 530012, 530013, 530038, 530060, 530074, 530078, 530082"
Fumarate hydratase class II,RAST2:fig|442.17.peg.1410,122,"530224, 530230, 530242, 530243, 530247, 530266, 530267, 530279, 530288, 530293, 530304, 530314, 530315, 530338, 530345, 530368, 530373, 530400, 530416, 530421, 530422, 530432, 530467, 530482, 530509, 530579, 530586, 530614, 530652, 530664, 530665, 530689, 530696, 530697, 530750, 530755, 530763, 530773, 530802, 530818, 530830, 530849, 530850, 530853, 530854, 530866, 530886, 530887, 530892, 530893, 530909, 530917, 530960, 530962, 530965, 530966, 531021, 531024, 531025, 531034, 531035, 531060, 531082, 531096, 531100, 531104, 531118, 531164, 531237, 531252, 531258, 531274, 531276, 531279, 531280, 531281, 531282, 531291, 531307, 531326, 531327, 531336, 531337, 531351, 531357, 531358, 531360, 531369, 531372, 531385, 531389, 531390, 531409, 531410, 531414, 531418, 531419, 531429, 531430, 531442, 531445, 531446, 531454, 531458, 531459, 531469, 531480, 531483, 531490, 531499, 531501, 531505, 531510, 531521, 531532, 531538, 531548, 531565, 531573, 531574, 531590, 531599"
Carboxypeptidase-related protein,RAST2:fig|442.17.peg.1411,127,"531748, 531754, 531766, 531767, 531771, 531790, 531791, 531803, 531812, 531817, 531828, 531838, 531839, 531862, 531869, 531892, 531897, 531924, 531940, 531945, 531946, 531956, 531991, 532006, 532033, 532103, 532110, 532138, 532176, 532188, 532189, 532213, 532220, 532221, 532274, 532279, 532287, 532297, 532326, 532342, 532354, 532373, 532374, 532377, 532378, 532390, 532410, 532411, 532416, 532417, 532433, 532441, 532484, 532486, 532489, 532490, 532545, 532548, 532549, 532558, 532559, 532584, 532606, 532620, 532624, 532628, 532642, 532688, 532761, 532776, 532782, 532798, 532800, 532803, 532804, 532805, 532806, 532815, 532831, 532850, 532851, 532860, 532861, 532875, 532881, 532882, 532884, 532893, 532896, 532909, 532913, 532914, 532933, 532934, 532938, 532942, 532943, 532953, 532954, 532966, 532969, 532970, 532978, 532982, 532983, 532993, 533004, 533007, 533014, 533023, 533025, 533029, 533034, 533045, 533056, 533062, 533072, 533089, 533097, 533098, 533114, 533123, 533150, 533178, 533179, 533212, 533215"
"Phytochrome, two-component sensor histidine kin",RAST2:fig|442.17.peg.1412,181,"533335, 533341, 533353, 533354, 533358, 533377, 533378, 533390, 533399, 533404, 533415, 533425, 533426, 533449, 533456, 533479, 533484, 533511, 533527, 533532, 533533, 533543, 533578, 533593, 533620, 533690, 533697, 533725, 533763, 533775, 533776, 533800, 533807, 533808, 533861, 533866, 533874, 533884, 533913, 533929, 533941, 533960, 533961, 533964, 533965, 533977, 533997, 533998, 534003, 534004, 534020, 534028, 534071, 534073, 534076, 534077, 534132, 534135, 534136, 534145, 534146, 534171, 534193, 534207, 534211, 534215, 534229, 534275, 534348, 534363, 534369, 534385, 534387, 534390, 534391, 534392, 534393, 534402, 534418, 534437, 534438, 534447, 534448, 534462, 534468, 534469, 534471, 534480, 534483, 534496, 534500, 534501, 534520, 534521, 534525, 534529, 534530, 534540, 534541, 534553, 534556, 534557, 534565, 534569, 534570, 534580, 534591, 534594, 534601, 534610, 534612, 534616, 534621, 534632, 534643, 534649, 534659, 534676, 534684, 534685, 534701, 534710, 534737, 534765, 534766, 534799, 534802, 534810, 534878, 534879, 534880, 534922, 534931, 534942, 534946, 534977, 534978, 534979, 534998, 535003, 535073, 535107, 535121, 535128, 535131, 535136, 535144, 535149, 535184, 535187, 535209, 535236, 535294, 535295, 535296, 535332, 535357, 535364, 535381, 535383, 535413, 535414, 535415, 535419, 535437, 535438, 535448, 535452, 535479, 535507, 535518, 535519, 535524, 535525, 535546, 535559, 535568, 535575, 535582, 535583, 535585"
Amidophosphoribosyltransferase,RAST2:fig|442.17.peg.1413,123,"535682, 535688, 535700, 535701, 535705, 535724, 535725, 535737, 535746, 535751, 535762, 535772, 535773, 535796, 535803, 535826, 535831, 535858, 535874, 535879, 535880, 535890, 535925, 535940, 535967, 536037, 536044, 536072, 536110, 536122, 536123, 536147, 536154, 536155, 536208, 536213, 536221, 536231, 536260, 536276, 536288, 536307, 536308, 536311, 536312, 536324, 536344, 536345, 536350, 536351, 536367, 536375, 536418, 536420, 536423, 536424, 536479, 536482, 536483, 536492, 536493, 536518, 536540, 536554, 536558, 536562, 536576, 536622, 536695, 536710, 536716, 536732, 536734, 536737, 536738, 536739, 536740, 536749, 536765, 536784, 536785, 536794, 536795, 536809, 536815, 536816, 536818, 536827, 536830, 536843, 536847, 536848, 536867, 536868, 536872, 536876, 536877, 536887, 536888, 536900, 536903, 536904, 536912, 536916, 536917, 536927, 536938, 536941, 536948, 536957, 536959, 536963, 536968, 536979, 536990, 536996, 537006, 537023, 537031, 537032, 537048, 537057, 537084"
hypothetical protein,RAST2:fig|442.17.peg.1414,38,"537147, 537153, 537165, 537166, 537170, 537189, 537190, 537202, 537211, 537216, 537227, 537237, 537238, 537261, 537268, 537291, 537296, 537323, 537339, 537344, 537345, 537355, 537390, 537405, 537432, 537502, 537509, 537537, 537575, 537587, 537588, 537612, 537619, 537620, 537673, 537678, 537686, 537696"
hypothetical protein,RAST2:fig|442.17.peg.1415,22,"537712, 537718, 537730, 537731, 537735, 537754, 537755, 537767, 537776, 537781, 537792, 537802, 537803, 537826, 537833, 537856, 537861, 537888, 537904, 537909, 537910, 537920"
hypothetical protein,RAST2:fig|442.17.peg.1416,16,"537980, 537986, 537998, 537999, 538003, 538022, 538023, 538035, 538044, 538049, 538060, 538070, 538071, 538094, 538101, 538124"
hypothetical protein,RAST2:fig|442.17.peg.1417,150,"538334, 538340, 538352, 538353, 538357, 538376, 538377, 538389, 538398, 538403, 538414, 538424, 538425, 538448, 538455, 538478, 538483, 538510, 538526, 538531, 538532, 538542, 538577, 538592, 538619, 538689, 538696, 538724, 538762, 538774, 538775, 538799, 538806, 538807, 538860, 538865, 538873, 538883, 538912, 538928, 538940, 538959, 538960, 538963, 538964, 538976, 538996, 538997, 539002, 539003, 539019, 539027, 539070, 539072, 539075, 539076, 539131, 539134, 539135, 539144, 539145, 539170, 539192, 539206, 539210, 539214, 539228, 539274, 539347, 539362, 539368, 539384, 539386, 539389, 539390, 539391, 539392, 539401, 539417, 539436, 539437, 539446, 539447, 539461, 539467, 539468, 539470, 539479, 539482, 539495, 539499, 539500, 539519, 539520, 539524, 539528, 539529, 539539, 539540, 539552, 539555, 539556, 539564, 539568, 539569, 539579, 539590, 539593, 539600, 539609, 539611, 539615, 539620, 539631, 539642, 539648, 539658, 539675, 539683, 539684, 539700, 539709, 539736, 539764, 539765, 539798, 539801, 539809, 539877, 539878, 539879, 539921, 539930, 539941, 539945, 539976, 539977, 539978, 539997, 540002, 540072, 540106, 540120, 540127, 540130, 540135, 540143, 540148, 540183, 540186"
5-aminolevulinate synthase,RAST2:fig|442.17.peg.1418,99,"540325, 540331, 540343, 540344, 540348, 540367, 540368, 540380, 540389, 540394, 540405, 540415, 540416, 540439, 540446, 540469, 540474, 540501, 540517, 540522, 540523, 540533, 540568, 540583, 540610, 540680, 540687, 540715, 540753, 540765, 540766, 540790, 540797, 540798, 540851, 540856, 540864, 540874, 540903, 540919, 540931, 540950, 540951, 540954, 540955, 540967, 540987, 540988, 540993, 540994, 541010, 541018, 541061, 541063, 541066, 541067, 541122, 541125, 541126, 541135, 541136, 541161, 541183, 541197, 541201, 541205, 541219, 541265, 541338, 541353, 541359, 541375, 541377, 541380, 541381, 541382, 541383, 541392, 541408, 541427, 541428, 541437, 541438, 541452, 541458, 541459, 541461, 541470, 541473, 541486, 541490, 541491, 541510, 541511, 541515, 541519, 541520, 541530, 541531"
"Transcriptional regulator, LysR family",RAST2:fig|442.17.peg.1419,68,"541539, 541545, 541557, 541558, 541562, 541581, 541582, 541594, 541603, 541608, 541619, 541629, 541630, 541653, 541660, 541683, 541688, 541715, 541731, 541736, 541737, 541747, 541782, 541797, 541824, 541894, 541901, 541929, 541967, 541979, 541980, 542004, 542011, 542012, 542065, 542070, 542078, 542088, 542117, 542133, 542145, 542164, 542165, 542168, 542169, 542181, 542201, 542202, 542207, 542208, 542224, 542232, 542275, 542277, 542280, 542281, 542336, 542339, 542340, 542349, 542350, 542375, 542397, 542411, 542415, 542419, 542433, 542479"
Pirin,RAST2:fig|442.17.peg.1420,52,"542598, 542604, 542616, 542617, 542621, 542640, 542641, 542653, 542662, 542667, 542678, 542688, 542689, 542712, 542719, 542742, 542747, 542774, 542790, 542795, 542796, 542806, 542841, 542856, 542883, 542953, 542960, 542988, 543026, 543038, 543039, 543063, 543070, 543071, 543124, 543129, 543137, 543147, 543176, 543192, 543204, 543223, 543224, 543227, 543228, 543240, 543260, 543261, 543266, 543267, 543283, 543291"
hypothetical protein,RAST2:fig|442.17.peg.1421,27,"543467, 543473, 543485, 543486, 543490, 543509, 543510, 543522, 543531, 543536, 543547, 543557, 543558, 543581, 543588, 543611, 543616, 543643, 543659, 543664, 543665, 543675, 543710, 543725, 543752, 543822, 543829"
hypothetical protein,RAST2:fig|442.17.peg.1422,68,"543930, 543936, 543948, 543949, 543953, 543972, 543973, 543985, 543994, 543999, 544010, 544020, 544021, 544044, 544051, 544074, 544079, 544106, 544122, 544127, 544128, 544138, 544173, 544188, 544215, 544285, 544292, 544320, 544358, 544370, 544371, 544395, 544402, 544403, 544456, 544461, 544469, 544479, 544508, 544524, 544536, 544555, 544556, 544559, 544560, 544572, 544592, 544593, 544598, 544599, 544615, 544623, 544666, 544668, 544671, 544672, 544727, 544730, 544731, 544740, 544741, 544766, 544788, 544802, 544806, 544810, 544824, 544870"
Uncharacterized MFS-type transporter,RAST2:fig|442.17.peg.1423,109,"545194, 545200, 545212, 545213, 545217, 545236, 545237, 545249, 545258, 545263, 545274, 545284, 545285, 545308, 545315, 545338, 545343, 545370, 545386, 545391, 545392, 545402, 545437, 545452, 545479, 545549, 545556, 545584, 545622, 545634, 545635, 545659, 545666, 545667, 545720, 545725, 545733, 545743, 545772, 545788, 545800, 545819, 545820, 545823, 545824, 545836, 545856, 545857, 545862, 545863, 545879, 545887, 545930, 545932, 545935, 545936, 545991, 545994, 545995, 546004, 546005, 546030, 546052, 546066, 546070, 546074, 546088, 546134, 546207, 546222, 546228, 546244, 546246, 546249, 546250, 546251, 546252, 546261, 546277, 546296, 546297, 546306, 546307, 546321, 546327, 546328, 546330, 546339, 546342, 546355, 546359, 546360, 546379, 546380, 546384, 546388, 546389, 546399, 546400, 546412, 546415, 546416, 546424, 546428, 546429, 546439, 546450, 546453, 546460"
NAD,RAST2:fig|442.17.peg.1424,133,"546474, 546480, 546492, 546493, 546497, 546516, 546517, 546529, 546538, 546543, 546554, 546564, 546565, 546588, 546595, 546618, 546623, 546650, 546666, 546671, 546672, 546682, 546717, 546732, 546759, 546829, 546836, 546864, 546902, 546914, 546915, 546939, 546946, 546947, 547000, 547005, 547013, 547023, 547052, 547068, 547080, 547099, 547100, 547103, 547104, 547116, 547136, 547137, 547142, 547143, 547159, 547167, 547210, 547212, 547215, 547216, 547271, 547274, 547275, 547284, 547285, 547310, 547332, 547346, 547350, 547354, 547368, 547414, 547487, 547502, 547508, 547524, 547526, 547529, 547530, 547531, 547532, 547541, 547557, 547576, 547577, 547586, 547587, 547601, 547607, 547608, 547610, 547619, 547622, 547635, 547639, 547640, 547659, 547660, 547664, 547668, 547669, 547679, 547680, 547692, 547695, 547696, 547704, 547708, 547709, 547719, 547730, 547733, 547740, 547749, 547751, 547755, 547760, 547771, 547782, 547788, 547798, 547815, 547823, 547824, 547840, 547849, 547876, 547904, 547905, 547938, 547941, 547949, 548017, 548018, 548019, 548061, 548070"
hypothetical protein,RAST2:fig|442.17.peg.1425,41,"548081, 548087, 548099, 548100, 548104, 548123, 548124, 548136, 548145, 548150, 548161, 548171, 548172, 548195, 548202, 548225, 548230, 548257, 548273, 548278, 548279, 548289, 548324, 548339, 548366, 548436, 548443, 548471, 548509, 548521, 548522, 548546, 548553, 548554, 548607, 548612, 548620, 548630, 548659, 548675, 548687"
Intracellular protease,RAST2:fig|442.17.peg.1426,41,"548763, 548769, 548781, 548782, 548786, 548805, 548806, 548818, 548827, 548832, 548843, 548853, 548854, 548877, 548884, 548907, 548912, 548939, 548955, 548960, 548961, 548971, 549006, 549021, 549048, 549118, 549125, 549153, 549191, 549203, 549204, 549228, 549235, 549236, 549289, 549294, 549302, 549312, 549341, 549357, 549369"
Cobalt-zinc-cadmium resistance protein CzcD,RAST2:fig|442.17.peg.1427,71,"549504, 549510, 549522, 549523, 549527, 549546, 549547, 549559, 549568, 549573, 549584, 549594, 549595, 549618, 549625, 549648, 549653, 549680, 549696, 549701, 549702, 549712, 549747, 549762, 549789, 549859, 549866, 549894, 549932, 549944, 549945, 549969, 549976, 549977, 550030, 550035, 550043, 550053, 550082, 550098, 550110, 550129, 550130, 550133, 550134, 550146, 550166, 550167, 550172, 550173, 550189, 550197, 550240, 550242, 550245, 550246, 550301, 550304, 550305, 550314, 550315, 550340, 550362, 550376, 550380, 550384, 550398, 550444, 550517, 550532, 550538"
Cobalt-zinc-cadmium resistance protein,RAST2:fig|442.17.peg.1428,66,"550569, 550575, 550587, 550588, 550592, 550611, 550612, 550624, 550633, 550638, 550649, 550659, 550660, 550683, 550690, 550713, 550718, 550745, 550761, 550766, 550767, 550777, 550812, 550827, 550854, 550924, 550931, 550959, 550997, 551009, 551010, 551034, 551041, 551042, 551095, 551100, 551108, 551118, 551147, 551163, 551175, 551194, 551195, 551198, 551199, 551211, 551231, 551232, 551237, 551238, 551254, 551262, 551305, 551307, 551310, 551311, 551366, 551369, 551370, 551379, 551380, 551405, 551427, 551441, 551445, 551449"
Chloride channel protein,RAST2:fig|442.17.peg.1429,125,"551661, 551667, 551679, 551680, 551684, 551703, 551704, 551716, 551725, 551730, 551741, 551751, 551752, 551775, 551782, 551805, 551810, 551837, 551853, 551858, 551859, 551869, 551904, 551919, 551946, 552016, 552023, 552051, 552089, 552101, 552102, 552126, 552133, 552134, 552187, 552192, 552200, 552210, 552239, 552255, 552267, 552286, 552287, 552290, 552291, 552303, 552323, 552324, 552329, 552330, 552346, 552354, 552397, 552399, 552402, 552403, 552458, 552461, 552462, 552471, 552472, 552497, 552519, 552533, 552537, 552541, 552555, 552601, 552674, 552689, 552695, 552711, 552713, 552716, 552717, 552718, 552719, 552728, 552744, 552763, 552764, 552773, 552774, 552788, 552794, 552795, 552797, 552806, 552809, 552822, 552826, 552827, 552846, 552847, 552851, 552855, 552856, 552866, 552867, 552879, 552882, 552883, 552891, 552895, 552896, 552906, 552917, 552920, 552927, 552936, 552938, 552942, 552947, 552958, 552969, 552975, 552985, 553002, 553010, 553011, 553027, 553036, 553063, 553091, 553092"
hypothetical protein,RAST2:fig|442.17.peg.1430,57,"553128, 553134, 553146, 553147, 553151, 553170, 553171, 553183, 553192, 553197, 553208, 553218, 553219, 553242, 553249, 553272, 553277, 553304, 553320, 553325, 553326, 553336, 553371, 553386, 553413, 553483, 553490, 553518, 553556, 553568, 553569, 553593, 553600, 553601, 553654, 553659, 553667, 553677, 553706, 553722, 553734, 553753, 553754, 553757, 553758, 553770, 553790, 553791, 553796, 553797, 553813, 553821, 553864, 553866, 553869, 553870, 553925"
hypothetical protein,RAST2:fig|442.17.peg.1431,25,"554083, 554089, 554101, 554102, 554106, 554125, 554126, 554138, 554147, 554152, 554163, 554173, 554174, 554197, 554204, 554227, 554232, 554259, 554275, 554280, 554281, 554291, 554326, 554341, 554368"
Two-component transcriptional response regulato,RAST2:fig|442.17.peg.1432,26,"554401, 554407, 554419, 554420, 554424, 554443, 554444, 554456, 554465, 554470, 554481, 554491, 554492, 554515, 554522, 554545, 554550, 554577, 554593, 554598, 554599, 554609, 554644, 554659, 554686, 554756"
Two-component system sensor histidine kinase,RAST2:fig|442.17.peg.1433,160,"554796, 554802, 554814, 554815, 554819, 554838, 554839, 554851, 554860, 554865, 554876, 554886, 554887, 554910, 554917, 554940, 554945, 554972, 554988, 554993, 554994, 555004, 555039, 555054, 555081, 555151, 555158, 555186, 555224, 555236, 555237, 555261, 555268, 555269, 555322, 555327, 555335, 555345, 555374, 555390, 555402, 555421, 555422, 555425, 555426, 555438, 555458, 555459, 555464, 555465, 555481, 555489, 555532, 555534, 555537, 555538, 555593, 555596, 555597, 555606, 555607, 555632, 555654, 555668, 555672, 555676, 555690, 555736, 555809, 555824, 555830, 555846, 555848, 555851, 555852, 555853, 555854, 555863, 555879, 555898, 555899, 555908, 555909, 555923, 555929, 555930, 555932, 555941, 555944, 555957, 555961, 555962, 555981, 555982, 555986, 555990, 555991, 556001, 556002, 556014, 556017, 556018, 556026, 556030, 556031, 556041, 556052, 556055, 556062, 556071, 556073, 556077, 556082, 556093, 556104, 556110, 556120, 556137, 556145, 556146, 556162, 556171, 556198, 556226, 556227, 556260, 556263, 556271, 556339, 556340, 556341, 556383, 556392, 556403, 556407, 556438, 556439, 556440, 556459, 556464, 556534, 556568, 556582, 556589, 556592, 556597, 556605, 556610, 556645, 556648, 556670, 556697, 556755, 556756, 556757, 556793, 556818, 556825, 556842, 556844"
hypothetical protein,RAST2:fig|442.17.peg.1434,70,"556947, 556953, 556965, 556966, 556970, 556989, 556990, 557002, 557011, 557016, 557027, 557037, 557038, 557061, 557068, 557091, 557096, 557123, 557139, 557144, 557145, 557155, 557190, 557205, 557232, 557302, 557309, 557337, 557375, 557387, 557388, 557412, 557419, 557420, 557473, 557478, 557486, 557496, 557525, 557541, 557553, 557572, 557573, 557576, 557577, 557589, 557609, 557610, 557615, 557616, 557632, 557640, 557683, 557685, 557688, 557689, 557744, 557747, 557748, 557757, 557758, 557783, 557805, 557819, 557823, 557827, 557841, 557887, 557960, 557975"
"Metal chaperone, involved in Zn homeostasis",RAST2:fig|442.17.peg.1435,68,"557984, 557990, 558002, 558003, 558007, 558026, 558027, 558039, 558048, 558053, 558064, 558074, 558075, 558098, 558105, 558128, 558133, 558160, 558176, 558181, 558182, 558192, 558227, 558242, 558269, 558339, 558346, 558374, 558412, 558424, 558425, 558449, 558456, 558457, 558510, 558515, 558523, 558533, 558562, 558578, 558590, 558609, 558610, 558613, 558614, 558626, 558646, 558647, 558652, 558653, 558669, 558677, 558720, 558722, 558725, 558726, 558781, 558784, 558785, 558794, 558795, 558820, 558842, 558856, 558860, 558864, 558878, 558924"
hypothetical protein,RAST2:fig|442.17.peg.1436,112,"559002, 559008, 559020, 559021, 559025, 559044, 559045, 559057, 559066, 559071, 559082, 559092, 559093, 559116, 559123, 559146, 559151, 559178, 559194, 559199, 559200, 559210, 559245, 559260, 559287, 559357, 559364, 559392, 559430, 559442, 559443, 559467, 559474, 559475, 559528, 559533, 559541, 559551, 559580, 559596, 559608, 559627, 559628, 559631, 559632, 559644, 559664, 559665, 559670, 559671, 559687, 559695, 559738, 559740, 559743, 559744, 559799, 559802, 559803, 559812, 559813, 559838, 559860, 559874, 559878, 559882, 559896, 559942, 560015, 560030, 560036, 560052, 560054, 560057, 560058, 560059, 560060, 560069, 560085, 560104, 560105, 560114, 560115, 560129, 560135, 560136, 560138, 560147, 560150, 560163, 560167, 560168, 560187, 560188, 560192, 560196, 560197, 560207, 560208, 560220, 560223, 560224, 560232, 560236, 560237, 560247, 560258, 560261, 560268, 560277, 560279, 560283"
General stress protein 69,RAST2:fig|442.17.peg.1437,68,"560385, 560391, 560403, 560404, 560408, 560427, 560428, 560440, 560449, 560454, 560465, 560475, 560476, 560499, 560506, 560529, 560534, 560561, 560577, 560582, 560583, 560593, 560628, 560643, 560670, 560740, 560747, 560775, 560813, 560825, 560826, 560850, 560857, 560858, 560911, 560916, 560924, 560934, 560963, 560979, 560991, 561010, 561011, 561014, 561015, 561027, 561047, 561048, 561053, 561054, 561070, 561078, 561121, 561123, 561126, 561127, 561182, 561185, 561186, 561195, 561196, 561221, 561243, 561257, 561261, 561265, 561279, 561325"
"Glycosyl transferase, group 1",RAST2:fig|442.17.peg.1438,78,"561386, 561392, 561404, 561405, 561409, 561428, 561429, 561441, 561450, 561455, 561466, 561476, 561477, 561500, 561507, 561530, 561535, 561562, 561578, 561583, 561584, 561594, 561629, 561644, 561671, 561741, 561748, 561776, 561814, 561826, 561827, 561851, 561858, 561859, 561912, 561917, 561925, 561935, 561964, 561980, 561992, 562011, 562012, 562015, 562016, 562028, 562048, 562049, 562054, 562055, 562071, 562079, 562122, 562124, 562127, 562128, 562183, 562186, 562187, 562196, 562197, 562222, 562244, 562258, 562262, 562266, 562280, 562326, 562399, 562414, 562420, 562436, 562438, 562441, 562442, 562443, 562444, 562453"
